PartitionKey,RowKey,source,title,description,instructor,level,role,product,duration,rating_count,rating_average,url
ms-learn,d4724fa7-df19-4f3b-a790-2841163e70cc,MS Learn,Explore accounts payable and accounts receivable in Microsoft Dynamics 365 Finance,Explore accounts payable and accounts receivable in Microsoft Dynamics 365 Finance,,beginner,business-owner,dynamics-finance,27,8,4.5,https://docs.microsoft.com/en-us/learn/modules/explore-accounts-payable-accounts-receivable-microsoft/?WT.mc_id=api_CatalogApi
ms-learn,b74268ab-0539-4dee-8323-f2841eab7f3e,MS Learn,Explore accounts payable and accounts receivable in Microsoft Dynamics 365 Finance,Explore accounts payable and accounts receivable in Microsoft Dynamics 365 Finance,,beginner,business-user,dynamics-365,27,8,4.5,https://docs.microsoft.com/en-us/learn/modules/explore-accounts-payable-accounts-receivable-microsoft/?WT.mc_id=api_CatalogApi
ms-learn,c3746db0-c693-493d-9341-6f061278e3b2,MS Learn,Explore accounts payable and accounts receivable in Microsoft Dynamics 365 Finance,Explore accounts payable and accounts receivable in Microsoft Dynamics 365 Finance,,beginner,business-user,dynamics-finance,27,8,4.5,https://docs.microsoft.com/en-us/learn/modules/explore-accounts-payable-accounts-receivable-microsoft/?WT.mc_id=api_CatalogApi
ms-learn,2d522f4c-8121-4d66-925a-8978c05d9ecf,MS Learn,Explore accounts payable and accounts receivable in Microsoft Dynamics 365 Finance,Explore accounts payable and accounts receivable in Microsoft Dynamics 365 Finance,,beginner,functional-consultant,dynamics-365,27,8,4.5,https://docs.microsoft.com/en-us/learn/modules/explore-accounts-payable-accounts-receivable-microsoft/?WT.mc_id=api_CatalogApi
ms-learn,2b0d14d1-da02-4cca-ac6b-9971909d7c41,MS Learn,Explore accounts payable and accounts receivable in Microsoft Dynamics 365 Finance,Explore accounts payable and accounts receivable in Microsoft Dynamics 365 Finance,,beginner,functional-consultant,dynamics-finance,27,8,4.5,https://docs.microsoft.com/en-us/learn/modules/explore-accounts-payable-accounts-receivable-microsoft/?WT.mc_id=api_CatalogApi
ms-learn,58f4a370-c7bd-44fd-b3fd-e518ec77a8b7,MS Learn,Explore accounts payable and accounts receivable in Microsoft Dynamics 365 Finance,Explore accounts payable and accounts receivable in Microsoft Dynamics 365 Finance,,beginner,student,dynamics-365,27,8,4.5,https://docs.microsoft.com/en-us/learn/modules/explore-accounts-payable-accounts-receivable-microsoft/?WT.mc_id=api_CatalogApi
ms-learn,20fd11ec-116d-4ca2-a93b-7e5436123471,MS Learn,Explore accounts payable and accounts receivable in Microsoft Dynamics 365 Finance,Explore accounts payable and accounts receivable in Microsoft Dynamics 365 Finance,,beginner,student,dynamics-finance,27,8,4.5,https://docs.microsoft.com/en-us/learn/modules/explore-accounts-payable-accounts-receivable-microsoft/?WT.mc_id=api_CatalogApi
ms-learn,c24201d7-b83d-45cf-9a22-0f97e441531b,MS Learn,Configure and work with inventory management in Dynamics 365 Supply Chain Management,"To perform the process of ordering, storing, and using a company's inventory of raw materials, components, and finished products, you need to configure the inventory management functionality in Dynamics 365 Supply Chain Management. Inventory journals are used to post physical inventory transactions of various types, such as the posting of issues and receipts, inventory movements, the creation of bills of material (BOMs), and the reconciliation of physical inventory.",,intermediate,functional-consultant,dynamics-365,304,282,4.57,https://docs.microsoft.com/en-us/learn/modules/configure-inventory-management-dyn365-supply-chain-mgmt/?WT.mc_id=api_CatalogApi
ms-learn,beb464dc-3790-4efb-8cd6-ce951999815e,MS Learn,Configure and work with inventory management in Dynamics 365 Supply Chain Management,"To perform the process of ordering, storing, and using a company's inventory of raw materials, components, and finished products, you need to configure the inventory management functionality in Dynamics 365 Supply Chain Management. Inventory journals are used to post physical inventory transactions of various types, such as the posting of issues and receipts, inventory movements, the creation of bills of material (BOMs), and the reconciliation of physical inventory.",,intermediate,functional-consultant,dynamics-scm,304,282,4.57,https://docs.microsoft.com/en-us/learn/modules/configure-inventory-management-dyn365-supply-chain-mgmt/?WT.mc_id=api_CatalogApi
ms-learn,3744027e-9d31-481a-b085-563960ec72b1,MS Learn,Configure and work with inventory management in Dynamics 365 Supply Chain Management,"To perform the process of ordering, storing, and using a company's inventory of raw materials, components, and finished products, you need to configure the inventory management functionality in Dynamics 365 Supply Chain Management. Inventory journals are used to post physical inventory transactions of various types, such as the posting of issues and receipts, inventory movements, the creation of bills of material (BOMs), and the reconciliation of physical inventory.",,intermediate,functional-consultant,dynamics-finance-operations,304,282,4.57,https://docs.microsoft.com/en-us/learn/modules/configure-inventory-management-dyn365-supply-chain-mgmt/?WT.mc_id=api_CatalogApi
ms-learn,fd3fdd35-2e13-4f37-a67a-8bb4eca63601,MS Learn,Configure and work with inventory management in Dynamics 365 Supply Chain Management,"To perform the process of ordering, storing, and using a company's inventory of raw materials, components, and finished products, you need to configure the inventory management functionality in Dynamics 365 Supply Chain Management. Inventory journals are used to post physical inventory transactions of various types, such as the posting of issues and receipts, inventory movements, the creation of bills of material (BOMs), and the reconciliation of physical inventory.",,intermediate,business-user,dynamics-365,304,282,4.57,https://docs.microsoft.com/en-us/learn/modules/configure-inventory-management-dyn365-supply-chain-mgmt/?WT.mc_id=api_CatalogApi
ms-learn,07fd65ba-6eed-44d3-9587-de4529fef519,MS Learn,Configure and work with inventory management in Dynamics 365 Supply Chain Management,"To perform the process of ordering, storing, and using a company's inventory of raw materials, components, and finished products, you need to configure the inventory management functionality in Dynamics 365 Supply Chain Management. Inventory journals are used to post physical inventory transactions of various types, such as the posting of issues and receipts, inventory movements, the creation of bills of material (BOMs), and the reconciliation of physical inventory.",,intermediate,business-user,dynamics-scm,304,282,4.57,https://docs.microsoft.com/en-us/learn/modules/configure-inventory-management-dyn365-supply-chain-mgmt/?WT.mc_id=api_CatalogApi
ms-learn,fb856ba6-4c18-40c2-987a-f7be8d4b0f7a,MS Learn,Configure and work with inventory management in Dynamics 365 Supply Chain Management,"To perform the process of ordering, storing, and using a company's inventory of raw materials, components, and finished products, you need to configure the inventory management functionality in Dynamics 365 Supply Chain Management. Inventory journals are used to post physical inventory transactions of various types, such as the posting of issues and receipts, inventory movements, the creation of bills of material (BOMs), and the reconciliation of physical inventory.",,intermediate,business-user,dynamics-finance-operations,304,282,4.57,https://docs.microsoft.com/en-us/learn/modules/configure-inventory-management-dyn365-supply-chain-mgmt/?WT.mc_id=api_CatalogApi
